zip,city,state,lat,lon,pop,sqmi,denspersqmi,med_income,avg_income,subways
601,Adjuntas,PR,18.180555,-66.749961,0,64.348,0,#N/A,#N/A,1
602,Aguada,PR,18.361945,-67.175597,0,30.613,0,#N/A,#N/A,1
603,Aguadilla,PR,18.455183,-67.119887,0,31.616,0,#N/A,#N/A,4
606,Maricao,PR,18.158345,-66.932911,0,42.309,0,#N/A,#N/A,0
610,Anasco,PR,18.295366,-67.125135,0,35.916,0,#N/A,#N/A,1
612,Arecibo,PR,18.402253,-66.711397,0,67.605,0,#N/A,#N/A,4
616,Bajadero,PR,18.420412,-66.671979,0,11.53,0,#N/A,#N/A,0
617,Barceloneta,PR,18.445147,-66.559696,0,15.192,0,#N/A,#N/A,2
622,Boqueron,PR,17.991245,-67.153993,0,28.989,0,#N/A,#N/A,0
623,Cabo Rojo,PR,18.083361,-67.153897,0,37.976,0,#N/A,#N/A,2
624,Penuelas,PR,18.064919,-66.716683,0,43.164,0,#N/A,#N/A,1
627,Camuy,PR,18.4126,-66.863926,0,46.355,0,#N/A,#N/A,0
631,Castaner,PR,18.190607,-66.832041,0,4.021,0,#N/A,#N/A,0
637,Sabana Grande,PR,18.076713,-66.947389,0,34.45,0,#N/A,#N/A,1
638,Ciales,PR,18.295913,-66.515588,0,66.045,0,#N/A,#N/A,1
641,Utuado,PR,18.263085,-66.712985,0,93.531,0,#N/A,#N/A,1
646,Dorado,PR,18.43315,-66.285875,0,20.7,0,#N/A,#N/A,1
647,Ensenada,PR,17.963613,-66.947127,0,15.205,0,#N/A,#N/A,0
650,Florida,PR,18.349416,-66.578079,0,30.522,0,#N/A,#N/A,0
652,Garrochales,PR,18.448452,-66.594127,0,6.917,0,#N/A,#N/A,0
653,Guanica,PR,17.985033,-66.886536,0,15.242,0,#N/A,#N/A,0
656,Guayanilla,PR,18.053539,-66.792931,0,32.415,0,#N/A,#N/A,1
659,Hatillo,PR,18.407226,-66.808999,0,41.781,0,#N/A,#N/A,2
660,Hormigueros,PR,18.134695,-67.116199,0,11.336,0,#N/A,#N/A,2
662,Isabela,PR,18.46832,-67.015781,0,44.368,0,#N/A,#N/A,1
664,Jayuya,PR,18.21033,-66.591616,0,45.521,0,#N/A,#N/A,0
667,Lajas,PR,18.003422,-67.03581,0,60.315,0,#N/A,#N/A,1
669,Lares,PR,18.277102,-66.869645,0,61.552,0,#N/A,#N/A,1
670,Las Marias,PR,18.240187,-66.988776,0,45.57,0,#N/A,#N/A,0
674,Manati,PR,18.422908,-66.489337,0,44.943,0,#N/A,#N/A,2
676,Moca,PR,18.377637,-67.079574,0,50.437,0,#N/A,#N/A,1
677,Rincon,PR,18.332568,-67.227022,0,14.339,0,#N/A,#N/A,1
678,Quebradillas,PR,18.434099,-66.927384,0,26.361,0,#N/A,#N/A,1
680,Mayaguez,PR,18.182055,-67.132502,0,64.207,0,#N/A,#N/A,4
682,Mayaguez,PR,18.221464,-67.156039,0,14.397,0,#N/A,#N/A,0
683,San German,PR,18.1078,-67.037263,0,52.196,0,#N/A,#N/A,1
685,San Sebastian,PR,18.332929,-66.959689,0,77.532,0,#N/A,#N/A,1
